codigo_fornecedor,classificacao,conta_codigo_reduzido,conta_descricao
1651,4.01.02.02.0001,40102020001,MANUTENÇÃO DA MAQUINA APARADORA DE GRAMA
1651,4.01.02.02.0053,40102020053,COMBUSTIVEL PARA MAQUINA APARADORA DE GRAMA
2359,4.02.01.02.0040,40201020040,AQUISIÇÃO E INSTALAÇÃO DE TELA DE SOMBRA PARA QUADRA DE ESPORTES
2882,4.01.02.02.0005,40102020005,MANUTENÇÃO EM PORTAS
2499,4.02.01.02.0050,40201020050,AQUISIÇÃO DE CONTROLE PORTÃO/TAG PARA USO DO CONDOMINIO
1265,4.02.03.07.0007,40203070007,PRESENTE DE ANIVERSÁRIO PARA COLABORADORA
0684,4.01.01.01.0001,40101010001,ORDENADOS E SALÁRIOS REF. EMPREGADOS
0684,4.02.03.09.0003,40203090003,FÉRIAS
0684,4.02.03.09.0001,40203090001,13º SALÁRIOS
0684,4.02.03.09.0005,40203090005,SUBSTITUIÇÕES DE EMPREGADOS EM FÉRIAS
0815,4.01.02.02.0044,40102020044,CÓPIAS E IMPRESSÕES
3165,4.02.01.02.0061,40201020061,AQUISIÇÃO DE GÁS PARA COZINHA DA AREA COMUM
2173,4.02.03.12.0007,40203120007,AQUISIÇÃO DE MÓVEIS PARA O SALÃO DE FESTAS
0858,4.02.03.06.0005,40203060005,PINTURA DAS ÁREAS COMUNS
0858,4.01.02.02.0115,40102020115,MATERIAIS PARA MANUTENÇÃO DA PINTURA DA AREA COMUM
0858,4.02.03.06.0075,40203060075,REFORMA DA FACHADA DO CONDOMÍNIO - MATERIAIS
2074,4.02.01.02.0032,40201020032,AQUISIÇÃO DE CANTONEIRAS PARA PILARES DA GARAGEM
1460,4.02.03.06.0039,40203060039,CONSORCIO PARA REFORMA DA TUBULAÇÃO DO GÁS
1460,4.02.03.06.0040,40203060040,CONSORCIO PARA REFORMA DO CONDOMÍNIO
1435,4.01.02.01.0012,40102010012,SEGURO DO CONDOMÍNIO
1435,4.02.03.11.0023,40203110023,SEGURO DO CONDOMÍNIO
1150,4.01.02.02.0065,40102020065,MANUTENÇÃO DO MOTOR/FILTRO DA PISCINA
1150,4.01.02.02.0039,40102020039,MATERIAIS PARA MANUTENÇÃO DA PISCINA
1150,4.01.02.02.0011,40102020011,MATERIAIS HIDRÁULICOS
